image_path,caption
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_100_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_101_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_102_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_103_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_104_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_105_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_106_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_107_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_108_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_109_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_110_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_111_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_112_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_113_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_114_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_115_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_116_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_117_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_118_endo.png,"Laparoscopic view showing fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_119_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_120_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_121_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_122_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_123_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_124_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_125_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_126_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_127_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_128_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_129_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_130_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_131_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_132_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_133_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_134_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_135_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_136_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_137_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_138_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_139_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_140_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_141_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_142_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_143_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_144_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_145_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_146_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_147_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, gastrointestinal tract, liver."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14859_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14860_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14861_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14862_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14863_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14864_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14865_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14866_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14867_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14868_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14869_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14870_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14871_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14872_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14873_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14874_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14875_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14876_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14877_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14878_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_14879_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
