dataset,domain,sequences,total_frames,has_depth,has_stereo,has_mask,modalities
C3VD,gi,1,1379,False,False,False,rgb
Cholec80-Boxes,laparo,5,15691,False,False,False,rgb
CholecSeg8k,laparo,1,8080,False,False,True,rgb
EndoNeRF,laparo,3,219,True,True,True,"rgbd,video"
endoscapes,laparo,11,153899,False,False,True,rgb
endovis2017_full,laparo,11,2701,False,False,True,rgb
endovis2018_full,laparo,2,3000,False,False,True,rgb
EndoVis2019_ROBUST-MIS,laparo,0,0,False,False,False,
HyperKvasir,gi,459,26418,False,False,True,"rgb,video"
ION_bronch,bronch,8,18157,False,False,False,"rgb,video"
Kvasir-Capsule,gi,0,0,False,False,False,
Kvasir-Instrument,gi,1,590,False,False,False,rgb
SCARED,laparo,64,835,False,False,False,"rgb,video"
Stereo_Lap,laparo,44,185344,True,False,False,rgbd
STIR,laparo,360,3640,False,False,False,"rgb,video"
TrackVes,laparo,10,1,False,False,False,"rgb,video"
EndoVis_InstrumentTracking,laparo,9,4536,False,False,True,"rgb,video"
SurgT,laparo,32,0,False,False,False,video
MIS_own,laparo,7,5175,False,False,False,rgb
MIS_own,laparo,6,3002,False,False,False,rgb
