dataset,sequence_id,modality,frames_dir,num_frames,has_depth,has_mask,has_stereo,split,sample_frame,domain
C3VD,cecum_t1_a\cecum_t1_a,rgb,datasets/C3VD/cecum_t1_a/cecum_t1_a,1379,False,False,False,train,datasets/C3VD/cecum_t1_a/cecum_t1_a/0000_depth.tiff,gi
Cholec80-Boxes,Images\Images\video_41,rgb,datasets/Cholec80-Boxes/Images/Images/video_41,3103,False,False,False,train,datasets/Cholec80-Boxes/Images/Images/video_41/Video_41_00001.png,laparo
Cholec80-Boxes,Images\Images\video_42,rgb,datasets/Cholec80-Boxes/Images/Images/video_42,3712,False,False,False,test,datasets/Cholec80-Boxes/Images/Images/video_42/Video_42_00001.png,laparo
Cholec80-Boxes,Images\Images\video_43,rgb,datasets/Cholec80-Boxes/Images/Images/video_43,2362,False,False,False,train,datasets/Cholec80-Boxes/Images/Images/video_43/Video_43_00001.png,laparo
Cholec80-Boxes,Images\Images\video_44,rgb,datasets/Cholec80-Boxes/Images/Images/video_44,3127,False,False,False,train,datasets/Cholec80-Boxes/Images/Images/video_44/Video_44_00001.png,laparo
Cholec80-Boxes,Images\Images\video_45,rgb,datasets/Cholec80-Boxes/Images/Images/video_45,3387,False,False,False,train,datasets/Cholec80-Boxes/Images/Images/video_45/Video_45_00001.png,laparo
CholecSeg8k,images,rgb,datasets/CholecSeg8k/images,8080,False,True,False,train,datasets/CholecSeg8k/images/video01_frame_100_endo.png,laparo
EndoNeRF,pulling_soft_tissues\masks\left_video.mp4,video,datasets/EndoNeRF/pulling_soft_tissues/masks,-1,False,False,False,train,datasets/EndoNeRF/pulling_soft_tissues/masks/left_video.mp4,laparo
EndoNeRF,cutting_tissues_twice\images,rgbd,datasets/EndoNeRF/cutting_tissues_twice/images,156,True,True,True,train,datasets/EndoNeRF/cutting_tissues_twice/images/000000.png,laparo
EndoNeRF,pulling_soft_tissues\images,rgbd,datasets/EndoNeRF/pulling_soft_tissues/images,63,True,True,True,val,datasets/EndoNeRF/pulling_soft_tissues/images/frame-000000.color.png,laparo
endoscapes,endoscapes,rgb,datasets/endoscapes/endoscapes,2,False,False,False,train,datasets/endoscapes/endoscapes/endoscapes_examples.png,laparo
endoscapes,endoscapes\12_5\train_0,rgb,datasets/endoscapes/endoscapes/12_5/train_0,3660,False,False,False,train,datasets/endoscapes/endoscapes/12_5/train_0/101_39800.jpg,laparo
endoscapes,endoscapes\12_5\train_1,rgb,datasets/endoscapes/endoscapes/12_5/train_1,2010,False,False,False,train,datasets/endoscapes/endoscapes/12_5/train_1/107_50325.jpg,laparo
endoscapes,endoscapes\12_5\train_2,rgb,datasets/endoscapes/endoscapes/12_5/train_2,3915,False,False,False,train,datasets/endoscapes/endoscapes/12_5/train_2/107_50325.jpg,laparo
endoscapes,endoscapes\25\train_0,rgb,datasets/endoscapes/endoscapes/25/train_0,8235,False,False,False,train,datasets/endoscapes/endoscapes/25/train_0/101_39800.jpg,laparo
endoscapes,endoscapes\25\train_1,rgb,datasets/endoscapes/endoscapes/25/train_1,8299,False,False,False,train,datasets/endoscapes/endoscapes/25/train_1/100_27200.jpg,laparo
endoscapes,endoscapes\25\train_2,rgb,datasets/endoscapes/endoscapes/25/train_2,10380,False,False,False,train,datasets/endoscapes/endoscapes/25/train_2/100_27200.jpg,laparo
endoscapes,endoscapes\all,rgb,datasets/endoscapes/endoscapes/all,58585,False,True,False,train,datasets/endoscapes/endoscapes/all/100_27200.jpg,laparo
endoscapes,endoscapes\test,rgb,datasets/endoscapes/endoscapes/test,9747,False,True,False,test,datasets/endoscapes/endoscapes/test/162_5850.jpg,laparo
endoscapes,endoscapes\train,rgb,datasets/endoscapes/endoscapes/train,36694,False,True,False,train,datasets/endoscapes/endoscapes/train/100_27200.jpg,laparo
endoscapes,endoscapes\val,rgb,datasets/endoscapes/endoscapes/val,12372,False,True,False,val,datasets/endoscapes/endoscapes/val/121_14850.jpg,laparo
endovis2017_full,endovis2017\train\image,rgb,datasets/endovis2017_full/endovis2017/train/image,1800,False,True,False,train,datasets/endovis2017_full/endovis2017/train/image/seq_1_frame000.bmp,laparo
endovis2017_full,endovis2017\val1\image,rgb,datasets/endovis2017_full/endovis2017/val1/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val1/image/seq_1_frame225.bmp,laparo
endovis2017_full,endovis2017\val10\image,rgb,datasets/endovis2017_full/endovis2017/val10/image,300,False,True,False,val,datasets/endovis2017_full/endovis2017/val10/image/seq_10_frame000.bmp,laparo
endovis2017_full,endovis2017\val2\image,rgb,datasets/endovis2017_full/endovis2017/val2/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val2/image/seq_2_frame225.bmp,laparo
endovis2017_full,endovis2017\val3\image,rgb,datasets/endovis2017_full/endovis2017/val3/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val3/image/seq_3_frame225.bmp,laparo
endovis2017_full,endovis2017\val4\image,rgb,datasets/endovis2017_full/endovis2017/val4/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val4/image/seq_4_frame225.bmp,laparo
endovis2017_full,endovis2017\val5\image,rgb,datasets/endovis2017_full/endovis2017/val5/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val5/image/seq_5_frame225.bmp,laparo
endovis2017_full,endovis2017\val6\image,rgb,datasets/endovis2017_full/endovis2017/val6/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val6/image/seq_6_frame225.bmp,laparo
endovis2017_full,endovis2017\val7\image,rgb,datasets/endovis2017_full/endovis2017/val7/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val7/image/seq_7_frame225.bmp,laparo
endovis2017_full,endovis2017\val8\image,rgb,datasets/endovis2017_full/endovis2017/val8/image,75,False,True,False,val,datasets/endovis2017_full/endovis2017/val8/image/seq_8_frame225.bmp,laparo
endovis2017_full,endovis2017\val9\image,rgb,datasets/endovis2017_full/endovis2017/val9/image,1,False,True,False,val,datasets/endovis2017_full/endovis2017/val9/image/seq_9_frame299.bmp,laparo
endovis2018_full,endovis2018\train\image,rgb,datasets/endovis2018_full/endovis2018/train/image,1800,False,True,False,train,datasets/endovis2018_full/endovis2018/train/image/seq_1_frame000.bmp,laparo
endovis2018_full,endovis2018\val\image,rgb,datasets/endovis2018_full/endovis2018/val/image,1200,False,True,False,val,datasets/endovis2018_full/endovis2018/val/image/seq_10_frame000.bmp,laparo
Kvasir-Instrument,images\images,rgb,datasets/Kvasir-Instrument/images/images,590,False,False,False,train,datasets/Kvasir-Instrument/images/images/ckcu8ty6z00003b5yzfaezbs5.jpg,gi
Stereo_Lap,rectified01\rectified01\image01,rgbd,datasets/Stereo_Lap/rectified01/rectified01/image01,1058,True,False,False,val,datasets/Stereo_Lap/rectified01/rectified01/image01/0000000000.jpg,laparo
Stereo_Lap,rectified01\rectified01\image02,rgbd,datasets/Stereo_Lap/rectified01/rectified01/image02,1058,True,False,False,train,datasets/Stereo_Lap/rectified01/rectified01/image02/0000000000.jpg,laparo
Stereo_Lap,rectified04\rectified04\image01,rgbd,datasets/Stereo_Lap/rectified04/rectified04/image01,1573,True,False,False,train,datasets/Stereo_Lap/rectified04/rectified04/image01/0000000000.jpg,laparo
Stereo_Lap,rectified04\rectified04\image02,rgbd,datasets/Stereo_Lap/rectified04/rectified04/image02,1573,True,False,False,train,datasets/Stereo_Lap/rectified04/rectified04/image02/0000000000.jpg,laparo
Stereo_Lap,rectified05\rectified05\image01,rgbd,datasets/Stereo_Lap/rectified05/rectified05/image01,899,True,False,False,train,datasets/Stereo_Lap/rectified05/rectified05/image01/0000000000.jpg,laparo
Stereo_Lap,rectified05\rectified05\image02,rgbd,datasets/Stereo_Lap/rectified05/rectified05/image02,899,True,False,False,train,datasets/Stereo_Lap/rectified05/rectified05/image02/0000000000.jpg,laparo
Stereo_Lap,rectified06\rectified06\image01,rgbd,datasets/Stereo_Lap/rectified06/rectified06/image01,1237,True,False,False,train,datasets/Stereo_Lap/rectified06/rectified06/image01/0000000000.jpg,laparo
Stereo_Lap,rectified06\rectified06\image02,rgbd,datasets/Stereo_Lap/rectified06/rectified06/image02,1237,True,False,False,train,datasets/Stereo_Lap/rectified06/rectified06/image02/0000000000.jpg,laparo
Stereo_Lap,rectified08\rectified08\image01,rgbd,datasets/Stereo_Lap/rectified08/rectified08/image01,14393,True,False,False,test,datasets/Stereo_Lap/rectified08/rectified08/image01/0000000000.jpg,laparo
Stereo_Lap,rectified08\rectified08\image02,rgbd,datasets/Stereo_Lap/rectified08/rectified08/image02,14393,True,False,False,test,datasets/Stereo_Lap/rectified08/rectified08/image02/0000000000.jpg,laparo
Stereo_Lap,rectified09\rectified09\image01,rgbd,datasets/Stereo_Lap/rectified09/rectified09/image01,806,True,False,False,train,datasets/Stereo_Lap/rectified09/rectified09/image01/0000000000.jpg,laparo
Stereo_Lap,rectified09\rectified09\image02,rgbd,datasets/Stereo_Lap/rectified09/rectified09/image02,806,True,False,False,train,datasets/Stereo_Lap/rectified09/rectified09/image02/0000000000.jpg,laparo
Stereo_Lap,rectified11\rectified11\image01,rgbd,datasets/Stereo_Lap/rectified11/rectified11/image01,2427,True,False,False,train,datasets/Stereo_Lap/rectified11/rectified11/image01/0000000000.jpg,laparo
Stereo_Lap,rectified11\rectified11\image02,rgbd,datasets/Stereo_Lap/rectified11/rectified11/image02,2427,True,False,False,train,datasets/Stereo_Lap/rectified11/rectified11/image02/0000000000.jpg,laparo
Stereo_Lap,rectified12\rectified12\image01,rgbd,datasets/Stereo_Lap/rectified12/rectified12/image01,3389,True,False,False,train,datasets/Stereo_Lap/rectified12/rectified12/image01/0000000000.jpg,laparo
Stereo_Lap,rectified12\rectified12\image02,rgbd,datasets/Stereo_Lap/rectified12/rectified12/image02,3389,True,False,False,test,datasets/Stereo_Lap/rectified12/rectified12/image02/0000000000.jpg,laparo
Stereo_Lap,rectified14\rectified14\image01,rgbd,datasets/Stereo_Lap/rectified14/rectified14/image01,5742,True,False,False,val,datasets/Stereo_Lap/rectified14/rectified14/image01/0000000000.jpg,laparo
Stereo_Lap,rectified14\rectified14\image02,rgbd,datasets/Stereo_Lap/rectified14/rectified14/image02,5742,True,False,False,train,datasets/Stereo_Lap/rectified14/rectified14/image02/0000000000.jpg,laparo
Stereo_Lap,rectified15\rectified15\image01,rgbd,datasets/Stereo_Lap/rectified15/rectified15/image01,4155,True,False,False,train,datasets/Stereo_Lap/rectified15/rectified15/image01/0000000000.jpg,laparo
Stereo_Lap,rectified15\rectified15\image02,rgbd,datasets/Stereo_Lap/rectified15/rectified15/image02,4155,True,False,False,train,datasets/Stereo_Lap/rectified15/rectified15/image02/0000000000.jpg,laparo
Stereo_Lap,rectified16\rectified16\image01,rgbd,datasets/Stereo_Lap/rectified16/rectified16/image01,4169,True,False,False,train,datasets/Stereo_Lap/rectified16/rectified16/image01/0000000000.jpg,laparo
Stereo_Lap,rectified16\rectified16\image02,rgbd,datasets/Stereo_Lap/rectified16/rectified16/image02,4169,True,False,False,train,datasets/Stereo_Lap/rectified16/rectified16/image02/0000000000.jpg,laparo
Stereo_Lap,rectified17\rectified17\image01,rgbd,datasets/Stereo_Lap/rectified17/rectified17/image01,3651,True,False,False,train,datasets/Stereo_Lap/rectified17/rectified17/image01/0000000000.jpg,laparo
Stereo_Lap,rectified17\rectified17\image02,rgbd,datasets/Stereo_Lap/rectified17/rectified17/image02,3651,True,False,False,train,datasets/Stereo_Lap/rectified17/rectified17/image02/0000000000.jpg,laparo
Stereo_Lap,rectified18\rectified18\image01,rgbd,datasets/Stereo_Lap/rectified18/rectified18/image01,5596,True,False,False,val,datasets/Stereo_Lap/rectified18/rectified18/image01/0000000000.jpg,laparo
Stereo_Lap,rectified18\rectified18\image02,rgbd,datasets/Stereo_Lap/rectified18/rectified18/image02,5596,True,False,False,train,datasets/Stereo_Lap/rectified18/rectified18/image02/0000000000.jpg,laparo
Stereo_Lap,rectified19\rectified19\image01,rgbd,datasets/Stereo_Lap/rectified19/rectified19/image01,10622,True,False,False,train,datasets/Stereo_Lap/rectified19/rectified19/image01/0000000000.jpg,laparo
Stereo_Lap,rectified19\rectified19\image02,rgbd,datasets/Stereo_Lap/rectified19/rectified19/image02,10622,True,False,False,train,datasets/Stereo_Lap/rectified19/rectified19/image02/0000000000.jpg,laparo
Stereo_Lap,rectified20\rectified20\image01,rgbd,datasets/Stereo_Lap/rectified20/rectified20/image01,2619,True,False,False,train,datasets/Stereo_Lap/rectified20/rectified20/image01/0000000000.jpg,laparo
Stereo_Lap,rectified20\rectified20\image02,rgbd,datasets/Stereo_Lap/rectified20/rectified20/image02,2619,True,False,False,train,datasets/Stereo_Lap/rectified20/rectified20/image02/0000000000.jpg,laparo
Stereo_Lap,rectified21\rectified21\image01,rgbd,datasets/Stereo_Lap/rectified21/rectified21/image01,5367,True,False,False,train,datasets/Stereo_Lap/rectified21/rectified21/image01/0000000000.jpg,laparo
Stereo_Lap,rectified21\rectified21\image02,rgbd,datasets/Stereo_Lap/rectified21/rectified21/image02,5367,True,False,False,train,datasets/Stereo_Lap/rectified21/rectified21/image02/0000000000.jpg,laparo
Stereo_Lap,rectified22\rectified22\image01,rgbd,datasets/Stereo_Lap/rectified22/rectified22/image01,2016,True,False,False,train,datasets/Stereo_Lap/rectified22/rectified22/image01/0000000000.jpg,laparo
